departamento,habitaciones,camas,num_emp1
ANTIOQUIA,147625,290371,41868
BOGOTA,112966,129522,61841
CUNDINAMARCA,72570,136996,13438
BOLIVAR,69932,139901,28732
VALLE DEL CAUCA,68043,114845,24056
MAGDALENA,50274,116539,14026
TOLIMA,43295,83648,7096
SANTANDER,42513,75245,14090
BOYACA,33802,65623,6451
QUINDIO,31258,63749,6249
META,30778,57933,6577
ATLANTICO,25145,50630,18816
RISARALDA,19971,41740,5894
NARIÑO,18129,27979,6271
NORTE DE SANTANDER,17280,26492,6106
CALDAS,15771,33795,4634
HUILA,15598,26728,4789
SUCRE,14906,37927,2591
SAN ANDRES Y PROVIDENCIA,13183,29785,6881
CORDOBA,13108,22753,3542
CESAR,12789,19712,4977
CAUCA,12257,16927,6813
GUAJIRA,11994,22627,3762
CASANARE,11833,17149,2141
CHOCO,6729,11903,1307
PUTUMAYO,6181,7870,1360
CAQUETA,4356,6234,1128
AMAZONAS,2539,5636,1184
ARAUCA,2037,3066,512
GUAVIARE,1502,2632,482
VICHADA,942,1280,226
GUAINIA,486,738,137
VAUPES,367,714,72
NO DETERMINADO,0,0,1
