departamento,numero_registros
ANTIOQUIA,36200
BOGOTA,23145
BOLIVAR,19566
MAGDALENA,13842
CUNDINAMARCA,13553
VALLE DEL CAUCA,12412
SANTANDER,7000
QUINDIO,6889
BOYACA,6712
TOLIMA,6132
RISARALDA,4920
ATLANTICO,4845
META,4070
CALDAS,3537
SAN ANDRES Y PROVIDENCIA,2924
HUILA,2762
NORTE DE SANTANDER,2456
NARIÑO,2362
SUCRE,2038
GUAJIRA,1870
CORDOBA,1476
CESAR,1375
CASANARE,1231
CAUCA,1192
CHOCO,914
PUTUMAYO,794
AMAZONAS,757
CAQUETA,641
GUAVIARE,341
ARAUCA,247
VICHADA,122
GUAINIA,120
VAUPES,56
NO DETERMINADO,6
