municipio,numero_registros
BOGOTA D.C.,22438
MEDELLIN,18916
CARTAGENA,18863
SANTA MARTA,13519
CALI,7519
BARRANQUILLA,3766
PEREIRA,3225
SAN ANDRES,2663
ARMENIA,2567
IBAGUE,2258
BUCARAMANGA,1924
VILLAVICENCIO,1913
MANIZALES,1825
VILLA DE LEYVA,1790
ENVIGADO,1621
RICAURTE,1470
CUCUTA,1317
GIRARDOT,1316
MELGAR,1289
PASTO,1282
SABANETA,1231
RIONEGRO,1123
GUATAPE,988
Coveñas,975
MONTENEGRO,945
NEIVA,919
SAN GIL,867
VALLEDUPAR,843
BELLO,825
SALENTO,819
SANTA ROSA DE CABAL,791
RIOHACHA,788
VILLETA,774
POPAYAN,769
SANTAFÉ DE ANTIOQUIA,727
PEÑOL,719
SAN JERONIMO,709
JARDIN,682
LETICIA,656
PALMIRA,652
ITAGUI,649
ANAPOIMA,642
PAIPA,638
FLORIDABLANCA,631
YOPAL,622
BARICHARA,619
QUIMBAYA,615
DIBULLA,595
DOS QUEBRADAS,595
TUNJA,587
FUSAGASUGA,583
LA TEBAIDA,580
TOLU,531
LA MESA,531
FILANDIA,506
BUENAVENTURA,503
MONTERIA,494
SOPETRAN,492
NECOCLI,487
CARMEN DE APICALA,487
GUARNE,481
PUERTO TRIUNFO,466
CHIA,438
LA VEGA,437
BUGA,430
BARBOSA,421
CALIMA (DARIEN),408
IPIALES,402
FLORENCIA,389
DUITAMA,388
SOGAMOSO,384
BARRANCABERMEJA,380
CALARCA,364
ACACIAS,364
RESTREPO,353
PIEDECUESTA,348
CARTAGO,341
PUERTO COLOMBIA,332
SAN JOSE DEL GUAVIARE,330
GUATAVITA,328
HONDA,327
JERICO,322
ZIPAQUIRA,321
FLANDES,318
SAN AGUSTIN,315
SAN ANTERO,312
CIRCASIA,308
SAN RAFAEL,300
USAQUEN,298
PALESTINA,296
MOCOA,290
SAN FRANCISCO,288
MARINILLA,287
JAMUNDI,283
CHINACOTA,282
MARIQUITA,282
EL COLEGIO,275
TULUA,273
PROVIDENCIA,273
PUERTO GAITAN (MANACACIAS),266
PITALITO,261
RETIRO,256
SOACHA,256
LA CALERA,252
RIVERA,249
TUMACO,248
GUADUAS,248
APARTADO,247
SINCELEJO,243
UTICA,241
MOMPOS,234
QUIBDO,231
COPACABANA,231
YUMBO,228
ACANDI,228
TOCAIMA,221
LOS SANTOS,220
VILLAMARIA,217
EL CERRITO,209
VILLAVIEJA,206
COCORNA,203
CARMEN DE VIBORAL,202
